No,Judul,Tanggal,Rincian,Dokumentasi
11,SEMINAR PROGRAM KERJA,30 Desember 2025Jam: 09:00 - 11:00 JKEM: 2.00,"Melaksanakan Seminar Program Kerja KKN Gelombang 115 Desa Kalosi di Aula Kantor Desa. Dalam seminar ini, penulis memaparkan rencana pembuatan website BUMDes Kalosi di hadapan pemerintah desa dan tokoh masyarakat untuk mendapatkan kritik, saran, serta persetujuan resmi.",https://sipbpm.unhas.ac.id/media/logbook/2026/H071231056/npc_number_2026-01-10_123250.742920.jpg
12,Setup Project,2 Januari 2026Jam: 21:00 - 23:00 JKEM: 2.00,"Memulai tahap awal pembuatan website BUMDes dengan melakukan inisialisasi proyek Next.js, membuat repositori Git untuk pelacakan kode, serta mengonfigurasi struktur folder dasar agar pengembangan sistem berjalan rapi.",https://sipbpm.unhas.ac.id/media/logbook/2026/H071231056/npc_number_2026-01-10_123301.270896.jpg
13,Desain dan Koding Tampilan Website,4 Januari 2026Jam: 21:00 - 23:30 JKEM: 3.00,"Melakukan perancangan antarmuka (UI/UX) dan pengodean halaman depan website BUMDes Kalosi. Fokus pengerjaan adalah membuat layout landing page yang responsif menggunakan HTML, CSS, dan Tailwind CSS agar tampil menarik saat diakses dari HP.",https://sipbpm.unhas.ac.id/media/logbook/2026/H071231056/npc_number_2026-01-10_123307.147150.jpg
14,Melakukan Observasi ke 5 sekolah SD,5 Januari 2026Jam: 07:00 - 11:30 JKEM: 5.00,"Melakukan kunjungan observasi ke lima Sekolah Dasar (SD) di sekitar desa. Kunjungan ini bertujuan untuk mengamati kondisi perpustakaan sekolah, mencatat jumlah buku, serta mendata kebutuhan media pembelajaran interaktif bagi siswa.",https://sipbpm.unhas.ac.id/media/logbook/2026/H071231056/npc_number_2026-01-10_123314.734714.jpg
15,Penyesuaian Fitur Website dan Tampilan UI/UX,5 Januari 2026Jam: 20:00 - 23:59 JKEM: 4.00,Melakukan penyesuaian navigasi menu dan mempercantik visual katalog produk pada website BUMDes. Pembenahan ini didasarkan pada hasil uji coba internal agar pengguna dapat mencari produk kuliner dan wisata dengan lebih mudah.,https://sipbpm.unhas.ac.id/media/logbook/2026/H071231056/npc_number_2026-01-10_123327.764503.jpg
16,Mendampingi Kegiatan Proker Individu dari Theo,6 Januari 2026Jam: 10:15 - 11:00 JKEM: 1.00,Mendampingi dan membantu rekan posko (Theo) dalam mempersiapkan materi pelajaran serta media pembelajaran visual untuk pelaksanaan program kerja mengajar bahasa Inggris.,https://sipbpm.unhas.ac.id/media/logbook/2026/H071231056/npc_number_2026-01-10_123335.240556.jpg
17,Pendampingan Implementasi Program Edukasi di Sekolah Dasar Negeri 5 Tanrutedong,7 Januari 2026Jam: 09:45 - 11:30 JKEM: 2.00,Membantu dan mendampingi pelaksanaan program edukasi pengajaran bahasa Inggris dasar di SDN 5 Tanrutedong bersama rekan posko untuk meningkatkan pemahaman bahasa asing siswa.,https://sipbpm.unhas.ac.id/media/logbook/2026/H071231056/npc_number_2026-01-10_123342.925315.jpg
18,Pembuatan bedengan bersama,7 Januari 2026Jam: 16:45 - 17:20 JKEM: 1.00,Berpartisipasi aktif bergotong-royong bersama warga dalam membuat bedengan tanah di kebun percontohan desa. Bedengan ini dipersiapkan sebagai media tanam bibit cabai dalam program ketahanan pangan.,https://sipbpm.unhas.ac.id/media/logbook/2026/H071231056/npc_number_2026-01-10_123348.276674.jpg
19,Penyesuaian Fitur Part 2 (Check out & Reviews + Feedback Sekdes),7 Januari 2026Jam: 22:00 - 23:59 JKEM: 2.00,Mengimplementasikan fitur ulasan produk (reviews) dan tombol checkout sesuai masukan terbaru dari Sekretaris Desa Kalosi guna memudahkan pembeli memberikan ulasan langsung pada menu BUMDes.,https://sipbpm.unhas.ac.id/media/logbook/2026/H071231056/npc_number_2026-01-10_123352.064698.jpg
20,Kolaborasi Pembuatan Bedengan Bersama Perangkat Dusun,8 Januari 2026Jam: 07:00 - 10:30 JKEM: 4.00,Melanjutkan gotong-royong pembuatan bedengan cabai bersama dengan kepala dusun dan warga setempat untuk mempercepat kesiapan lahan perkebunan desa.,https://sipbpm.unhas.ac.id/media/logbook/2026/H071231056/npc_number_2026-01-10_123356.582856.jpghttps://sipbpm.unhas.ac.id/media/logbook/2026/H071231056/npc_number_2026-01-21_091904.123292.jpeg
21,Implementasi Modul Autentikasi dan Keamanan Dashboard Admin Website BUMDes,8 Januari 2026Jam: 14:00 - 15:03 JKEM: 1.00,Mengembangkan modul login administrator menggunakan NextAuth pada website BUMDes Kalosi. Sistem keamanan ini dibuat untuk melindungi dashboard dari akses tidak sah demi menjaga kerahasiaan data pesanan.,https://sipbpm.unhas.ac.id/media/logbook/2026/H071231056/npc_number_2026-01-10_123400.729332.jpg
22,Implementasi Integrasi Database Publik dan Pengembangan Fitur Konfigurasi Sistem.,9 Januari 2026Jam: 20:00 - 23:00 JKEM: 3.00,Menghubungkan aplikasi web dengan database PostgreSQL menggunakan Prisma ORM. Tahap ini juga mencakup pembuatan tabel database untuk menyimpan konfigurasi sistem secara dinamis.,https://sipbpm.unhas.ac.id/media/logbook/2026/H071231056/npc_number_2026-01-10_123403.204022.jpg
23,Pendampingan Program Edukasi di Mi DDI,10 Januari 2026Jam: 11:15 - 12:45 JKEM: 2.00,Membantu pengajaran literasi bahasa Inggris dasar bagi siswa-siswi di Madrasah Ibtidaiyah DDI Kalosi untuk mendukung program edukasi posko KKN.,https://sipbpm.unhas.ac.id/media/logbook/2026/H071231056/npc_number_2026-01-21_091832.814305.jpg
24,Implementasi Sistem Upload dan Integritas Transaksi Real-time,10 Januari 2026Jam: 19:45 - 23:58 JKEM: 4.00,Mengimplementasikan fungsi pengunggahan gambar produk oleh admin serta sistem pencatatan transaksi pembelian secara real-time ke dalam database sebelum diteruskan ke WhatsApp.,https://sipbpm.unhas.ac.id/media/logbook/2026/H071231056/npc_number_2026-01-21_091658.476279.jpg
25,Perbaiki Halaman Detail Produk(selesai),11 Januari 2026Jam: 10:00 - 10:45 JKEM: 1.00,"Merapikan tampilan detail produk pada katalog website BUMDes Kalosi, memastikan deskripsi, harga normal, harga promo, dan tombol tambah ke keranjang belanja tersusun presisi.",https://sipbpm.unhas.ac.id/media/logbook/2026/H071231056/npc_number_2026-01-21_091853.596700.jpg
26,Memberbaiki Bug dan Melakukan Testing Fitur Tambah Keranjang Belanja,11 Januari 2026Jam: 11:15 - 12:13 JKEM: 1.00,Melakukan perbaikan bug pada fitur keranjang belanja digital. Eror diatasi sehingga total jumlah barang dan perhitungan harga belanjaan terakumulasi secara akurat ketika ditambahkan berulang kali.,https://sipbpm.unhas.ac.id/media/logbook/2026/H071231056/npc_number_2026-01-21_091856.440445.jpeg
27,Implementasi Validasi & Perbaikan Halaman Checkout (Selesai),11 Januari 2026Jam: 20:30 - 21:22 JKEM: 1.00,"Mengembangkan sistem validasi formulir checkout menggunakan Zod dan React Hook Form. Sistem memastikan nama, alamat dusun, dan nomor HP pembeli terisi dengan benar sebelum diarahkan ke WhatsApp.",https://sipbpm.unhas.ac.id/media/logbook/2026/H071231056/npc_number_2026-01-21_091859.820398.jpeg
28,Koding logika Tampilan Profile di Dashboard,13 Januari 2026Jam: 08:30 - 10:00 JKEM: 2.00,"Menulis kode logika untuk menampilkan halaman profil pengguna di dashboard admin, sehingga pengelola BUMDes dapat memperbarui informasi pribadi dan kata sandi mereka.",https://sipbpm.unhas.ac.id/media/logbook/2026/H071231056/npc_number_2026-01-21_091901.449522.jpg
29,Mendampingi Pelaksanaan Program Kerja “Theo Mengajar” di SDN 5 Tanrutedong (Minggu Ke-2),14 Januari 2026Jam: 09:30 - 11:10 JKEM: 2.00,"Mendampingi program mengajar bahasa Inggris dasar di SDN 5 Tanrutedong untuk minggu kedua, berfokus pada pengayaan kosakata harian siswa.",https://sipbpm.unhas.ac.id/media/logbook/2026/H071231056/npc_number_2026-01-21_091904.123292.jpeg
30,Perbaikan tampilan dashboard admin / staf,14 Januari 2026Jam: 12:30 - 15:15 JKEM: 3.00,"Merapikan tata letak dashboard administrator/staf, memperbaiki responsivitas sidebar menu, serta memperjelas tombol navigasi utama untuk kemudahan operasional.",https://sipbpm.unhas.ac.id/media/logbook/2026/H071231056/npc_number_2026-01-21_091909.662975.jpg
31,Membuat halaman Rekap & Laporan untuk Admin/Staf,14 Januari 2026Jam: 15:25 - 16:25 JKEM: 1.00,Membuat halaman rekap pesanan masuk dan laporan penjualan sederhana untuk admin agar pengelola BUMDes dapat memantau laporan keuangan secara mingguan atau bulanan.,https://sipbpm.unhas.ac.id/media/logbook/2026/H071231056/npc_number_2026-01-21_092421.265139.jpg
32,"Optimalisasi Dashboard Multi-Role (Admin & Staff) BUMDes, Dashboad(Selesai? aamiin)",14 Januari 2026Jam: 20:15 - 23:45 JKEM: 4.00,Mengoptimalkan pembagian hak akses dashboard multi-role. Sistem dikonfigurasi agar membedakan fitur yang dapat diakses oleh peran Super Admin (kepala BUMDes) dan Staff biasa.,https://sipbpm.unhas.ac.id/media/logbook/2026/H071231056/npc_number_2026-01-21_093652.423100.jpeg
33,Pendampingan Proker Theo SDN 12 Tanrutedong Minggu ke 2,15 Januari 2026Jam: 07:30 - 10:10 JKEM: 3.00,Mendampingi pelaksanaan pengajaran program belajar bahasa Inggris di SDN 12 Tanrutedong untuk minggu kedua.,https://sipbpm.unhas.ac.id/media/logbook/2026/H071231056/npc_number_2026-01-21_092613.866627.jpg
34,Mendampingi Proker Pembuatan Nugget,15 Januari 2026Jam: 16:00 - 17:30 JKEM: 2.00,Membantu gotong-royong program kerja kelompok berupa demo pembuatan nugget sehat bersama ibu-ibu PKK Desa Kalosi untuk meningkatkan inovasi pangan lokal.,https://sipbpm.unhas.ac.id/media/logbook/2026/H071231056/npc_number_2026-01-21_093657.926760.jpeg
35,Logika Unit Khusus (Perikanan & Wisata),16 Januari 2026Jam: 20:30 - 21:00 JKEM: 1.00,Menyusun kerangka komponen dan pembagian tabel database untuk unit usaha perikanan dan tiket wisata malam Monalisa.,https://sipbpm.unhas.ac.id/media/logbook/2026/H071231056/npc_number_2026-01-21_092627.196647.jpeg
36,Logika Unit Khusus (Perikanan & Wisata),16 Januari 2026Jam: 20:30 - 21:00 JKEM: 1.00,Menulis logika filter data produk agar katalog website dapat menyaring produk berdasarkan unit perikanan atau wahana wisata secara dinamis.,https://sipbpm.unhas.ac.id/media/logbook/2026/H071231056/npc_number_2026-01-21_092519.298663.jpeg
37,Logika Unit Khusus (Perikanan & Wisata),16 Januari 2026Jam: 20:30 - 21:00 JKEM: 1.00,Menguji fungsi pemanggilan data database (query PostgreSQL) untuk memastikan data unit perikanan dan wisata malam terpanggil dengan cepat.,https://sipbpm.unhas.ac.id/media/logbook/2026/H071231056/npc_number_2026-01-21_092509.426451.jpeg
38,Logika Unit Khusus (Perikanan & Wisata),16 Januari 2026Jam: 20:30 - 21:20 JKEM: 1.00,"Merapikan visual komponen kartu produk khusus kuliner, tiket wahana, dan hasil perikanan agar terlihat serasi di halaman katalog.",https://sipbpm.unhas.ac.id/media/logbook/2026/H071231056/npc_number_2026-01-21_092451.243069.jpeg
39,Logika Unit Khusus (Perikanan & Wisata),16 Januari 2026Jam: 20:30 - 21:00 JKEM: 1.00,Mengintegrasikan tombol transaksi pada unit usaha perikanan dan wahana wisata malam agar tersambung langsung dengan keranjang belanja digital.,https://sipbpm.unhas.ac.id/media/logbook/2026/H071231056/npc_number_2026-01-21_092606.523206.jpeg
40,Logika Unit Khusus (Perikanan & Wisata),16 Januari 2026Jam: 22:15 - 22:55 JKEM: 1.00,Menyelesaikan seluruh rangkaian logika pemrosesan data unit khusus perikanan dan pariwisata hingga siap digunakan di server lokal.,https://sipbpm.unhas.ac.id/media/logbook/2026/H071231056/npc_number_2026-01-21_092441.564040.jpeg
41,Ekspansi Galeri,16 Januari 2026Jam: 23:00 - 23:58 JKEM: 1.00,Membuat halaman galeri foto dinamis di website BUMDes Kalosi. Halaman ini berfungsi untuk memamerkan foto kegiatan usaha BUMDes guna meningkatkan daya tarik bagi calon wisatawan luar.,https://sipbpm.unhas.ac.id/media/logbook/2026/H071231056/npc_number_2026-01-23_131606.453269.jpeg
42,Ubah Gaya Global & Dashboard (Culturally Arts),17 Januari 2026Jam: 00:02 - 00:45 JKEM: 1.00,Menyesuaikan tema warna global website (biru-putih) serta merapikan tipografi agar website terlihat profesional dan sesuai dengan identitas BUMDes Kalosi.,https://sipbpm.unhas.ac.id/media/logbook/2026/H071231056/npc_number_2026-01-23_131619.812048.jpeg
43,Menambahakan Fitur Komentar Berita,17 Januari 2026Jam: 00:47 - 01:20 JKEM: 1.00,Mengembangkan fitur komentar pada artikel berita di website BUMDes agar pengunjung dapat memberikan tanggapan atau saran terkait program desa.,https://sipbpm.unhas.ac.id/media/logbook/2026/H071231056/npc_number_2026-01-23_131628.039833.jpeg
44,Fitur Lupa Password,17 Januari 2026Jam: 01:25 - 01:55 JKEM: 1.00,Membuat fitur lupa kata sandi (forgot password) yang aman bagi administrator website BUMDes dengan integrasi pengiriman tautan pemulihan sandi.,https://sipbpm.unhas.ac.id/media/logbook/2026/H071231056/npc_number_2026-01-23_131857.242931.jpeg
45,Penanganan Pesanan Multi-Staf,17 Januari 2026Jam: 02:00 - 03:00 JKEM: 1.00,"Mengembangkan logika pembagian order masuk pada dashboard, memungkinkan admin utama menugaskan penanganan pesanan WhatsApp ke staf yang sedang bertugas.",https://sipbpm.unhas.ac.id/media/logbook/2026/H071231056/npc_number_2026-01-23_131900.587001.jpeg
46,Pendampingan Proker Mengajar Bahasa Ingriis di MDDI Minggu ke 2,17 Januari 2026Jam: 11:00 - 12:45 JKEM: 2.00,Kembali membantu pelaksanaan program belajar bahasa Inggris minggu kedua di MDDI Kalosi bersama rekan posko KKN.,https://sipbpm.unhas.ac.id/media/logbook/2026/H071231056/npc_number_2026-01-23_131905.963338.jpeg
47,Pemasangan Mulsa,17 Januari 2026Jam: 16:00 - 17:45 JKEM: 2.00,Membantu warga dalam membentangkan dan memasang lembaran mulsa plastik pada bedengan kebun cabai percontohan desa guna menjaga kelembapan tanah.,https://sipbpm.unhas.ac.id/media/logbook/2026/H071231056/npc_number_2026-01-23_131910.060763.jpeg
48,Pemasangan Mulsa Proker Penanaman cabai Part 2,18 Januari 2026Jam: 16:00 - 17:45 JKEM: 2.00,Melanjutkan pemasangan mulsa plastik untuk baris bedengan berikutnya guna memastikan seluruh area kebun terlindungi dari pertumbuhan gulma.,https://sipbpm.unhas.ac.id/media/logbook/2026/H071231056/npc_number_2026-01-23_131921.732459.jpeg
49,Membantu Proker Dwi : Penanaman Cabai - Part 1,19 Januari 2026Jam: 16:00 - 18:00 JKEM: 2.00,Membantu menanam bibit cabai rawit ke dalam lubang mulsa bedengan perkebunan desa dalam program pengabdian ketahanan pangan posko.,https://sipbpm.unhas.ac.id/media/logbook/2026/H071231056/npc_number_2026-01-24_132846.249790.jpeg
50,Mendampingi Proker Mengajar Bahasa Inggris SDN 6 Tanruterong Minggu ke 3,20 Januari 2026Jam: 08:00 - 11:00 JKEM: 3.00,Mendampingi rekan posko KKN dalam program mengajar bahasa Inggris minggu ketiga di SDN 6 Tanrutedong.,https://sipbpm.unhas.ac.id/media/logbook/2026/H071231056/npc_number_2026-01-23_131929.844162.jpg
51,Memperbaiki Tampilan Footer,20 Januari 2026Jam: 23:00 - 23:45 JKEM: 1.00,"Memperbaiki desain footer di bagian bawah website BUMDes Kalosi, menyematkan kontak resmi WhatsApp BUMDes, peta lokasi desa, dan hak cipta website.",https://sipbpm.unhas.ac.id/media/logbook/2026/H071231056/npc_number_2026-01-23_131946.462495.jpeg
52,Mendampingi Proker Mengajar Bahasa Inggris di SDN 5 Tanrutedong(Minggu ke 3),21 Januari 2026Jam: 09:00 - 11:30 JKEM: 3.00,Membantu pengajaran bahasa Inggris dasar minggu ketiga di SDN 5 Tanrutedong bersama rekan posko.,https://sipbpm.unhas.ac.id/media/logbook/2026/H071231056/npc_number_2026-01-23_131951.408467.jpeg
53,Integrasi Whatsapp Could Api,21 Januari 2026Jam: 22:03 - 23:58 JKEM: 2.00,Mengintegrasikan website dengan API notifikasi WhatsApp untuk mempermudah alur komunikasi pesanan antara pembeli dan admin BUMDes.,https://sipbpm.unhas.ac.id/media/logbook/2026/H071231056/npc_number_2026-01-23_131954.702499.jpeg
54,Pendampingan Proker Theo SDN 12 Tanrutedong Minggu 3,22 Januari 2026Jam: 07:55 - 09:30 JKEM: 2.00,Mendampingi program mengajar bahasa Inggris dasar minggu ketiga di SDN 12 Tanrutedong.,https://sipbpm.unhas.ac.id/media/logbook/2026/H071231056/npc_number_2026-01-23_131957.214502.jpg
55,Menambahkan data produk ke database,22 Januari 2026Jam: 10:00 - 11:30 JKEM: 2.00,"Memasukkan 15+ data produk asli milik BUMDes Kalosi (seperti Nasi Goreng, Sarebba, ikan segar, tiket Istana Balon) lengkap dengan deskripsi dan harga riil ke database server.",https://sipbpm.unhas.ac.id/media/logbook/2026/H071231056/npc_number_2026-02-02_121743.449758.jpeg
56,Menambahkan akun admin/staff ke database,22 Januari 2026Jam: 13:00 - 14:40 JKEM: 2.00,"Menginput data kredensial akun admin dan staf BUMDes ke database PostgreSQL, serta melakukan enkripsi password demi keamanan akun.",https://sipbpm.unhas.ac.id/media/logbook/2026/H071231056/npc_number_2026-02-02_121813.985658.jpeg
57,Publikasi WhatsApp Bisnis,22 Januari 2026Jam: 20:00 - 23:30 JKEM: 4.00,Membantu pengelola menyetel profil WhatsApp Business resmi BUMDes Sumber Kalosi agar terlihat profesional dan siap menerima pesanan dari website.,https://sipbpm.unhas.ac.id/media/logbook/2026/H071231056/npc_number_2026-02-02_121816.760446.jpeg
58,Pengerjaan Proker Kelompok Bank Sampah,23 Januari 2026Jam: 07:00 - 09:00 JKEM: 2.00,Membantu gotong-royong pendirian fisik dan sosialisasi awal program Bank Sampah kepada masyarakat Desa Kalosi dalam program kerja kelompok.,https://sipbpm.unhas.ac.id/media/logbook/2026/H071231056/npc_number_2026-02-02_121820.074933.jpeg
59,Mendampingi Theo Mengajar Bahasa Inggris di SDN 9 Tanruterong Minggu ke 3,23 Januari 2026Jam: 09:30 - 11:15 JKEM: 2.00,Mendampingi rekan posko mengajar bahasa Inggris minggu ketiga di SDN 9 Tanrutedong.,https://sipbpm.unhas.ac.id/media/logbook/2026/H071231056/npc_number_2026-02-02_121822.293514.jpeg
60,Membantu Proker Dwigita Nanda Aulyah : Menyiram Cabai,23 Januari 2026Jam: 16:05 - 18:00 JKEM: 2.00,Membantu menyiram kebun cabai percontohan secara rutin guna memastikan bibit tanaman tumbuh dengan baik di musim kemarau.,https://sipbpm.unhas.ac.id/media/logbook/2026/H071231056/npc_number_2026-02-02_121513.744655.jpg
61,Testing Pesan Checkout Otomatis,23 Januari 2026Jam: 20:00 - 23:30 JKEM: 4.00,Melakukan uji coba pemesanan produk secara langsung dari website BUMDes untuk memastikan format chat pemesanan terkirim secara otomatis ke WhatsApp pengelola.,https://sipbpm.unhas.ac.id/media/logbook/2026/H071231056/npc_number_2026-02-02_121702.503271.jpeg
62,Pendampingan Proker Theo di MDDI Tanrutedong Minggu ke 3,24 Januari 2026Jam: 11:15 - 12:53 JKEM: 2.00,Membantu program bimbingan belajar bahasa Inggris dasar minggu ketiga di MDDI Kalosi.,https://sipbpm.unhas.ac.id/media/logbook/2026/H071231056/npc_number_2026-02-02_121708.895164.jpg
63,Membantu Proker Dwi: Menyiram Cabai,24 Januari 2026Jam: 17:00 - 18:00 JKEM: 1.00,Kembali membantu bergotong-royong menyiram perkebunan cabai desa agar pasokan air tanaman terpenuhi.,https://sipbpm.unhas.ac.id/media/logbook/2026/H071231056/npc_number_2026-02-02_121711.599194.jpg
64,Membantu menyiram cabai : Dwigita Nanda Aulyah,25 Januari 2026Jam: 09:15 - 11:00 JKEM: 2.00,Membantu program ketahanan pangan kelompok dengan melakukan penyiraman berkala pada kebun cabai percontohan.,https://sipbpm.unhas.ac.id/media/logbook/2026/H071231056/npc_number_2026-02-02_121714.804910.jpg
65,Rapat koordinasi dengan Pemdes Kalosi,26 Januari 2026Jam: 09:00 - 10:00 JKEM: 1.00,Melangsungkan rapat koordinasi bersama aparat pemerintah desa Kalosi guna menyampaikan progres teknis website BUMDes yang siap diuji secara online.,https://sipbpm.unhas.ac.id/media/logbook/2026/H071231056/npc_number_2026-02-02_121718.010320.jpg
66,Integrasi fitur opt in WhatsApp,26 Januari 2026Jam: 09:29 - 12:30 JKEM: 3.00,Menambahkan fitur persetujuan pengiriman pesan WhatsApp pada halaman checkout agar transaksi mematuhi ketentuan privasi pengguna.,https://sipbpm.unhas.ac.id/media/logbook/2026/H071231056/npc_number_2026-02-02_121720.730025.jpg
67,Melakukan Quality Assurance Website - Part 1,26 Januari 2026Jam: 13:00 - 16:00 JKEM: 3.00,"Melakukan pengujian kualitas (Quality Assurance) website BUMDes, memeriksa jika terdapat tautan yang rusak, tombol yang tidak merespons, atau kesalahan visual di browser HP.",https://sipbpm.unhas.ac.id/media/logbook/2026/H071231056/npc_number_2026-02-02_121722.634277.jpg
68,Menyiram Cabai : Proker Dwigita Nanda Aulyah,27 Januari 2026Jam: 09:30 - 10:00 JKEM: 1.00,Membantu penyiraman tanaman cabai di kebun ketahanan pangan desa bersama rekan posko KKN.,https://sipbpm.unhas.ac.id/media/logbook/2026/H071231056/npc_number_2026-02-02_121725.029788.jpg
69,Implementasi Sidebar Berita Dinamis & Perbaikan Sistem Galeri,27 Januari 2026Jam: 12:30 - 15:01 JKEM: 3.00,Memperbaiki tampilan sidebar berita dinamis serta menata tata letak grid foto galeri agar tampil responsif dan rapi saat dibuka warga.,https://sipbpm.unhas.ac.id/media/logbook/2026/H071231056/npc_number_2026-02-02_121728.553866.jpeg
70,Integrasi fitur edit conten berita,27 Januari 2026Jam: 21:00 - 22:30 JKEM: 2.00,"Mengembangkan modul pembaruan konten berita di halaman kontrol admin, sehingga pengelola BUMDes dapat mengedit teks berita secara langsung.",https://sipbpm.unhas.ac.id/media/logbook/2026/H071231056/npc_number_2026-02-02_121424.687369.jpeg
71,Perawatan Cabai,28 Januari 2026Jam: 07:00 - 08:00 JKEM: 1.00,Melakukan pembersihan gulma (rumput liar) di sekitar tanaman cabai serta merapikan pagar bambu kebun.,https://sipbpm.unhas.ac.id/media/logbook/2026/H071231056/npc_number_2026-02-02_121427.393722.jpeg
72,Rapat Evaluasi proker dengan Pakdesa,28 Januari 2026Jam: 18:00 - 19:30 JKEM: 2.00,Rapat evaluasi akhir bersama Kepala Desa Kalosi mengenai fitur website BUMDes. Menerima masukan seperti perubahan tema warna biru-putih dan fitur kelola stok.,https://sipbpm.unhas.ac.id/media/logbook/2026/H071231056/npc_number_2026-02-02_121434.826875.jpeg
